epoch,train_loss,val_loss,train_auc_pr,val_auc_pr,train_recall,val_recall,train_precision,val_precision,val_f2,lr
1,0.6092493783165427,0.544987983862559,0.6371430334416835,0.7025851563509662,0.652156862745098,0.6977777777777778,0.594140764558771,0.6666666666666666,0.6913254073095553,5e-05
2,0.4914163003248327,0.5000543235143026,0.7409116563006788,0.7449949766087886,0.7588235294117647,0.7155555555555555,0.6756284916201117,0.6939655172413793,0.7111307420494699,5e-05
3,0.42841261844074024,0.48198328653971356,0.7974487530192371,0.7708933869996346,0.7968627450980392,0.7466666666666667,0.7082607180202161,0.7073684210526315,0.7384615384615385,5e-05
4,0.36834369353687063,0.4979224270184835,0.8522429829949533,0.7705829019789381,0.836078431372549,0.7422222222222222,0.7565649396735273,0.7292576419213974,0.7395925597874226,5e-05
5,0.3170221313308267,0.5426182578404745,0.8868754023345876,0.774478592068805,0.8717647058823529,0.6733333333333333,0.7888573456352023,0.7518610421836228,0.6876985928279619,5e-05
6,0.26134586132273957,0.5553482788403828,0.919328968310038,0.7738927132985876,0.8988235294117647,0.7466666666666667,0.825945945945946,0.7257019438444925,0.7423773751657092,5e-05
