model,n_test,n_pos,accuracy,precision,recall,f1,auc_pr,auc_roc
baseline_ocr_regex,3000,93,0.9663333333333334,0.4090909090909091,0.1935483870967742,0.26277372262773724,0.1454689837406745,0.5924538840248418
efficientnet_b0,3000,93,0.8536666666666667,0.1440329218106996,0.7526881720430108,0.24179620034542315,0.20767122380000505,0.8800836690080673
resnet50_cam,3000,93,0.8383333333333334,0.13157894736842105,0.7526881720430108,0.224,0.20191205450309493,0.8789259148292405
yolov8n,3000,93,0.9153333333333333,0.13901345291479822,0.3333333333333333,0.1962025316455696,0.14189546010811196,0.7183550273533295
yolov8s,3000,93,0.9106666666666666,0.1308016877637131,0.3333333333333333,0.18787878787878787,0.1432964106172025,0.7292815635969536
